OrderID,CustomerID,OrderDate,ProductID,DiscountedUnitPrice,Quantity,Country,ProductName,CategoryID,UndiscountedUnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,Revenue,Discount,%Discount
10393,SAVEA,1/25/1995,26,24.9,70,USA,Gumbär Gummibärchen,3,31.23,15,0,0,0,Confections,1743,6.33,20.26897214
10393,SAVEA,1/25/1995,31,10,32,USA,Gorgonzola Telino,4,12.5,0,70,20,0,Dairy Products,320,2.5,20
10394,HUNGC,1/25/1995,13,4.8,10,USA,Konbu,8,6,24,0,5,0,Seafood,48,1.2,20
10394,HUNGC,1/25/1995,62,39.4,10,USA,Tarte au sucre,3,49.3,17,0,0,0,Confections,394,9.9,20.0811359
10395,HILAA,1/26/1995,46,9.6,28,Venezuela,Spegesild,8,12,95,0,0,0,Seafood,268.8,2.4,20
10395,HILAA,1/26/1995,53,26.2,70,Venezuela,Perth Pasties,6,32.8,0,0,0,1,Meat/Poultry,1834,6.6,20.12195122
10395,HILAA,1/26/1995,69,28.8,8,Venezuela,Gudbrandsdalsost,4,36,26,0,15,0,Dairy Products,230.4,7.2,20
10396,FRANK,1/27/1995,23,7.2,40,Germany,Tunnbröd,5,9,61,0,25,0,Grains/Cereals,288,1.8,20
10396,FRANK,1/27/1995,71,17.2,60,Germany,FlÃ¸temysost,4,21.5,26,0,0,0,Dairy Products,1032,4.3,20
10396,FRANK,1/27/1995,72,27.8,21,Germany,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,583.8,7,20.11494253
10397,PRINI,1/27/1995,21,8,10,Portugal,Sir Rodney's Scones,3,10,3,40,5,0,Confections,80,2,20
10397,PRINI,1/27/1995,51,42.4,18,Portugal,Manjimup Dried Apples,7,53,20,0,10,0,Produce,763.2,10.6,20
10398,SAVEA,1/30/1995,35,14.4,30,USA,Steeleye Stout,1,18,20,0,15,0,Beverages,432,3.6,20
10398,SAVEA,1/30/1995,55,19.2,120,USA,Pâté chinois,6,24,115,0,20,0,Meat/Poultry,2304,4.8,20
10399,VAFFE,1/31/1995,68,10,60,Denmark,Scottish Longbreads,3,12.5,6,10,15,0,Confections,600,2.5,20
10399,VAFFE,1/31/1995,71,17.2,30,Denmark,FlÃ¸temysost,4,21.5,26,0,0,0,Dairy Products,516,4.3,20
10399,VAFFE,1/31/1995,76,14.4,35,Denmark,Lakkalikööri,1,18,57,0,20,0,Beverages,504,3.6,20
10399,VAFFE,1/31/1995,77,10.4,14,Denmark,Original Frankfurter grüne Soße,2,13,32,0,15,0,Condiments,145.6,2.6,20
10400,EASTC,2/1/1995,29,99,21,UK,Thüringer Rostbratwurst,6,123.79,0,0,0,1,Meat/Poultry,2079,24.79,20.02585023
10400,EASTC,2/1/1995,35,14.4,35,UK,Steeleye Stout,1,18,20,0,15,0,Beverages,504,3.6,20
10400,EASTC,2/1/1995,49,16,30,UK,Maxilaku,3,20,10,60,15,0,Confections,480,4,20
10401,RATTC,2/1/1995,30,20.7,18,USA,Nord-Ost Matjeshering,8,25.89,10,0,15,0,Seafood,372.6,5.19,20.04634994
10401,RATTC,2/1/1995,56,30.4,70,USA,Gnocchi di nonna Alice,5,38,21,10,30,0,Grains/Cereals,2128,7.6,20
10401,RATTC,2/1/1995,65,16.8,20,USA,Louisiana Fiery Hot Pepper Sauce,2,21.05,76,0,0,0,Condiments,336,4.25,20.19002375
10401,RATTC,2/1/1995,71,17.2,60,USA,FlÃ¸temysost,4,21.5,26,0,0,0,Dairy Products,1032,4.3,20
10402,ERNSH,2/2/1995,23,7.2,60,Austria,Tunnbröd,5,9,61,0,25,0,Grains/Cereals,432,1.8,20
10402,ERNSH,2/2/1995,63,35.1,65,Austria,Vegie-spread,2,43.9,24,0,5,0,Condiments,2281.5,8.8,20.04555809
10403,ERNSH,2/3/1995,16,13.9,21,Austria,Pavlova,3,17.45,29,0,10,0,Confections,291.9,3.55,20.34383954
10403,ERNSH,2/3/1995,48,10.2,70,Austria,Chocolade,3,12.75,15,70,25,0,Confections,714,2.55,20
10404,MAGAA,2/3/1995,26,24.9,30,Italy,Gumbär Gummibärchen,3,31.23,15,0,0,0,Confections,747,6.33,20.26897214
10404,MAGAA,2/3/1995,42,11.2,40,Italy,Singaporean Hokkien Fried Mee,5,14,26,0,0,1,Grains/Cereals,448,2.8,20
10404,MAGAA,2/3/1995,49,16,30,Italy,Maxilaku,3,20,10,60,15,0,Confections,480,4,20
10405,LINOD,2/6/1995,3,8,50,Venezuela,Aniseed Syrup,2,10,13,70,25,0,Condiments,400,2,20
10406,QUEEN,2/7/1995,1,14.4,10,Brazil,Chai,1,18,39,0,10,0,Beverages,144,3.6,20
10406,QUEEN,2/7/1995,21,8,30,Brazil,Sir Rodney's Scones,3,10,3,40,5,0,Confections,240,2,20
10406,QUEEN,2/7/1995,28,36.4,42,Brazil,Rössle Sauerkraut,7,45.6,26,0,0,1,Produce,1528.8,9.2,20.1754386
10406,QUEEN,2/7/1995,36,15.2,5,Brazil,Inlagd Sill,8,19,112,0,20,0,Seafood,76,3.8,20
10406,QUEEN,2/7/1995,40,14.7,2,Brazil,Boston Crab Meat,8,18.4,123,0,30,0,Seafood,29.4,3.7,20.10869565
10407,OTTIK,2/7/1995,11,16.8,30,Germany,Queso Cabrales,4,21,22,30,30,0,Dairy Products,504,4.2,20
10407,OTTIK,2/7/1995,69,28.8,15,Germany,Gudbrandsdalsost,4,36,26,0,15,0,Dairy Products,432,7.2,20
10407,OTTIK,2/7/1995,71,17.2,15,Germany,FlÃ¸temysost,4,21.5,26,0,0,0,Dairy Products,258,4.3,20
10408,FOLIG,2/8/1995,37,20.8,10,France,Gravad lax,8,26,11,50,25,0,Seafood,208,5.2,20
10408,FOLIG,2/8/1995,54,5.9,6,France,Tourtière,6,7.45,21,0,10,0,Meat/Poultry,35.4,1.55,20.80536913
10408,FOLIG,2/8/1995,62,39.4,35,France,Tarte au sucre,3,49.3,17,0,0,0,Confections,1379,9.9,20.0811359
10409,OCEAN,2/9/1995,14,18.6,12,Argentina,Tofu,7,23.25,35,0,0,0,Produce,223.2,4.65,20
10409,OCEAN,2/9/1995,21,8,12,Argentina,Sir Rodney's Scones,3,10,3,40,5,0,Confections,96,2,20
10410,BOTTM,2/10/1995,33,2,49,Canada,Geitost,4,2.5,112,0,20,0,Dairy Products,98,0.5,20
10410,BOTTM,2/10/1995,59,44,16,Canada,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,704,11,20
10411,BOTTM,2/10/1995,41,7.7,25,Canada,Jack's New England Clam Chowder,8,9.65,85,0,10,0,Seafood,192.5,1.95,20.20725389
10411,BOTTM,2/10/1995,44,15.5,40,Canada,Gula Malacca,2,19.45,27,0,15,0,Condiments,620,3.95,20.30848329
10411,BOTTM,2/10/1995,59,44,9,Canada,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,396,11,20
10412,WARTH,2/13/1995,14,18.6,20,Finland,Tofu,7,23.25,35,0,0,0,Produce,372,4.65,20
10413,LAMAI,2/14/1995,1,14.4,24,France,Chai,1,18,39,0,10,0,Beverages,345.6,3.6,20
10413,LAMAI,2/14/1995,62,39.4,40,France,Tarte au sucre,3,49.3,17,0,0,0,Confections,1576,9.9,20.0811359
10413,LAMAI,2/14/1995,76,14.4,14,France,Lakkalikööri,1,18,57,0,20,0,Beverages,201.6,3.6,20
10414,FAMIA,2/14/1995,19,7.3,18,Brazil,Teatime Chocolate Biscuits,3,9.2,25,0,5,0,Confections,131.4,1.9,20.65217391
10414,FAMIA,2/14/1995,33,2,50,Brazil,Geitost,4,2.5,112,0,20,0,Dairy Products,100,0.5,20
10415,HUNGC,2/15/1995,17,31.2,2,USA,Alice Mutton,6,39,0,0,0,1,Meat/Poultry,62.4,7.8,20
10415,HUNGC,2/15/1995,33,2,20,USA,Geitost,4,2.5,112,0,20,0,Dairy Products,40,0.5,20
10416,WARTH,2/16/1995,19,7.3,20,Finland,Teatime Chocolate Biscuits,3,9.2,25,0,5,0,Confections,146,1.9,20.65217391
10416,WARTH,2/16/1995,53,26.2,10,Finland,Perth Pasties,6,32.8,0,0,0,1,Meat/Poultry,262,6.6,20.12195122
10416,WARTH,2/16/1995,57,15.6,20,Finland,Ravioli Angelo,5,19.5,36,0,20,0,Grains/Cereals,312,3.9,20
10248,VINET,8/4/1994,11,14,12,France,Queso Cabrales,4,21,22,30,30,0,Dairy Products,168,7,33.33333333
10248,VINET,8/4/1994,42,9.8,10,France,Singaporean Hokkien Fried Mee,5,14,26,0,0,1,Grains/Cereals,98,4.2,30
10248,VINET,8/4/1994,72,34.8,5,France,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,174,0,0
10249,TOMSP,8/5/1994,14,18.6,9,Germany,Tofu,7,23.25,35,0,0,0,Produce,167.4,4.65,20
10249,TOMSP,8/5/1994,51,42.4,40,Germany,Manjimup Dried Apples,7,53,20,0,10,0,Produce,1696,10.6,20
10250,HANAR,8/8/1994,41,7.7,10,Brazil,Jack's New England Clam Chowder,8,9.65,85,0,10,0,Seafood,77,1.95,20.20725389
10250,HANAR,8/8/1994,51,42.4,35,Brazil,Manjimup Dried Apples,7,53,20,0,10,0,Produce,1484,10.6,20
10250,HANAR,8/8/1994,65,16.8,15,Brazil,Louisiana Fiery Hot Pepper Sauce,2,21.05,76,0,0,0,Condiments,252,4.25,20.19002375
10251,VICTE,8/8/1994,22,16.8,6,France,Gustaf's Knäckebröd,5,21,104,0,25,0,Grains/Cereals,100.8,4.2,20
10251,VICTE,8/8/1994,57,15.6,15,France,Ravioli Angelo,5,19.5,36,0,20,0,Grains/Cereals,234,3.9,20
10251,VICTE,8/8/1994,65,16.8,20,France,Louisiana Fiery Hot Pepper Sauce,2,21.05,76,0,0,0,Condiments,336,4.25,20.19002375
10252,SUPRD,8/9/1994,20,64.8,40,Belgium,Sir Rodney's Marmalade,3,81,40,0,0,0,Confections,2592,16.2,20
10252,SUPRD,8/9/1994,33,2,25,Belgium,Geitost,4,2.5,112,0,20,0,Dairy Products,50,0.5,20
10252,SUPRD,8/9/1994,60,27.2,40,Belgium,Camembert Pierrot,4,34,19,0,0,0,Dairy Products,1088,6.8,20
10253,HANAR,8/10/1994,31,10,20,Brazil,Gorgonzola Telino,4,12.5,0,70,20,0,Dairy Products,200,2.5,20
10253,HANAR,8/10/1994,39,14.4,42,Brazil,Chartreuse verte,1,18,69,0,5,0,Beverages,604.8,3.6,20
10253,HANAR,8/10/1994,49,16,40,Brazil,Maxilaku,3,20,10,60,15,0,Confections,640,4,20
10254,CHOPS,8/11/1994,24,3.6,15,Switzerland,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,54,0.9,20
10254,CHOPS,8/11/1994,55,19.2,21,Switzerland,Pâté chinois,6,24,115,0,20,0,Meat/Poultry,403.2,4.8,20
10254,CHOPS,8/11/1994,74,8,21,Switzerland,Longlife Tofu,7,10,4,20,5,0,Produce,168,2,20
10255,RICSU,8/12/1994,2,15.2,20,Switzerland,Chang,1,19,17,40,25,0,Beverages,304,3.8,20
10255,RICSU,8/12/1994,16,13.9,35,Switzerland,Pavlova,3,17.45,29,0,10,0,Confections,486.5,3.55,20.34383954
10255,RICSU,8/12/1994,36,15.2,25,Switzerland,Inlagd Sill,8,19,112,0,20,0,Seafood,380,3.8,20
10255,RICSU,8/12/1994,59,44,30,Switzerland,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,1320,11,20
10256,WELLI,8/15/1994,53,26.2,15,Brazil,Perth Pasties,6,32.8,0,0,0,1,Meat/Poultry,393,6.6,20.12195122
10256,WELLI,8/15/1994,77,10.4,12,Brazil,Original Frankfurter grüne Soße,2,13,32,0,15,0,Condiments,124.8,2.6,20
10257,HILAA,8/16/1994,27,35.1,25,Venezuela,Schoggi Schokolade,3,43.9,49,0,30,0,Confections,877.5,8.8,20.04555809
10257,HILAA,8/16/1994,39,14.4,6,Venezuela,Chartreuse verte,1,18,69,0,5,0,Beverages,86.4,3.6,20
10257,HILAA,8/16/1994,77,10.4,15,Venezuela,Original Frankfurter grüne Soße,2,13,32,0,15,0,Condiments,156,2.6,20
10258,ERNSH,8/17/1994,2,15.2,50,Austria,Chang,1,19,17,40,25,0,Beverages,760,3.8,20
10258,ERNSH,8/17/1994,5,17,65,Austria,Chef Anton's Gumbo Mix,2,21.35,0,0,0,1,Condiments,1105,4.35,20.37470726
10258,ERNSH,8/17/1994,32,25.6,6,Austria,Mascarpone Fabioli,4,32,9,40,25,0,Dairy Products,153.6,6.4,20
10259,CENTC,8/18/1994,21,8,10,Mexico,Sir Rodney's Scones,3,10,3,40,5,0,Confections,80,2,20
10259,CENTC,8/18/1994,37,20.8,1,Mexico,Gravad lax,8,26,11,50,25,0,Seafood,20.8,5.2,20
10260,OTTIK,8/19/1994,41,7.7,16,Germany,Jack's New England Clam Chowder,8,9.65,85,0,10,0,Seafood,123.2,1.95,20.20725389
10260,OTTIK,8/19/1994,57,15.6,50,Germany,Ravioli Angelo,5,19.5,36,0,20,0,Grains/Cereals,780,3.9,20
10260,OTTIK,8/19/1994,62,39.4,15,Germany,Tarte au sucre,3,49.3,17,0,0,0,Confections,591,9.9,20.0811359
10260,OTTIK,8/19/1994,70,12,21,Germany,Outback Lager,1,15,15,10,30,0,Beverages,252,3,20
10261,QUEDE,8/19/1994,21,8,20,Brazil,Sir Rodney's Scones,3,10,3,40,5,0,Confections,160,2,20
10261,QUEDE,8/19/1994,35,14.4,20,Brazil,Steeleye Stout,1,18,20,0,15,0,Beverages,288,3.6,20
10262,RATTC,8/22/1994,5,17,12,USA,Chef Anton's Gumbo Mix,2,21.35,0,0,0,1,Condiments,204,4.35,20.37470726
10262,RATTC,8/22/1994,7,24,15,USA,Uncle Bob's Organic Dried Pears,7,30,15,0,10,0,Produce,360,6,20
10262,RATTC,8/22/1994,56,30.4,2,USA,Gnocchi di nonna Alice,5,38,21,10,30,0,Grains/Cereals,60.8,7.6,20
10263,ERNSH,8/23/1994,16,13.9,60,Austria,Pavlova,3,17.45,29,0,10,0,Confections,834,3.55,20.34383954
10263,ERNSH,8/23/1994,24,3.6,28,Austria,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,100.8,0.9,20
10263,ERNSH,8/23/1994,30,20.7,60,Austria,Nord-Ost Matjeshering,8,25.89,10,0,15,0,Seafood,1242,5.19,20.04634994
10263,ERNSH,8/23/1994,74,8,36,Austria,Longlife Tofu,7,10,4,20,5,0,Produce,288,2,20
10264,FOLKO,8/24/1994,2,15.2,35,Sweden,Chang,1,19,17,40,25,0,Beverages,532,3.8,20
10264,FOLKO,8/24/1994,41,7.7,25,Sweden,Jack's New England Clam Chowder,8,9.65,85,0,10,0,Seafood,192.5,1.95,20.20725389
10265,BLONP,8/25/1994,17,31.2,30,France,Alice Mutton,6,39,0,0,0,1,Meat/Poultry,936,7.8,20
10265,BLONP,8/25/1994,70,12,20,France,Outback Lager,1,15,15,10,30,0,Beverages,240,3,20
10266,WARTH,8/26/1994,12,30.4,12,Finland,Queso Manchego La Pastora,4,38,86,0,0,0,Dairy Products,364.8,7.6,20
10267,FRANK,8/29/1994,40,14.7,50,Germany,Boston Crab Meat,8,18.4,123,0,30,0,Seafood,735,3.7,20.10869565
10267,FRANK,8/29/1994,59,44,70,Germany,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,3080,11,20
10267,FRANK,8/29/1994,76,14.4,15,Germany,Lakkalikööri,1,18,57,0,20,0,Beverages,216,3.6,20
10268,GROSR,8/30/1994,29,99,10,Venezuela,Thüringer Rostbratwurst,6,123.79,0,0,0,1,Meat/Poultry,990,24.79,20.02585023
10268,GROSR,8/30/1994,72,27.8,4,Venezuela,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,111.2,7,20.11494253
10269,WHITC,8/31/1994,33,2,60,USA,Geitost,4,2.5,112,0,20,0,Dairy Products,120,0.5,20
10269,WHITC,8/31/1994,72,27.8,20,USA,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,556,7,20.11494253
10270,WARTH,9/1/1994,36,15.2,30,Finland,Inlagd Sill,8,19,112,0,20,0,Seafood,456,3.8,20
10270,WARTH,9/1/1994,43,36.8,25,Finland,Ipoh Coffee,1,46,17,10,25,0,Beverages,920,9.2,20
10271,SPLIR,9/1/1994,33,2,24,USA,Geitost,4,2.5,112,0,20,0,Dairy Products,48,0.5,20
10272,RATTC,9/2/1994,20,64.8,6,USA,Sir Rodney's Marmalade,3,81,40,0,0,0,Confections,388.8,16.2,20
10272,RATTC,9/2/1994,31,10,40,USA,Gorgonzola Telino,4,12.5,0,70,20,0,Dairy Products,400,2.5,20
10272,RATTC,9/2/1994,72,27.8,24,USA,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,667.2,7,20.11494253
10273,QUICK,9/5/1994,10,24.8,24,Germany,Ikura,8,31,31,0,0,0,Seafood,595.2,6.2,20
10273,QUICK,9/5/1994,31,10,15,Germany,Gorgonzola Telino,4,12.5,0,70,20,0,Dairy Products,150,2.5,20
10273,QUICK,9/5/1994,33,2,20,Germany,Geitost,4,2.5,112,0,20,0,Dairy Products,40,0.5,20
10273,QUICK,9/5/1994,40,14.7,60,Germany,Boston Crab Meat,8,18.4,123,0,30,0,Seafood,882,3.7,20.10869565
10273,QUICK,9/5/1994,76,14.4,33,Germany,Lakkalikööri,1,18,57,0,20,0,Beverages,475.2,3.6,20
10274,VINET,9/6/1994,71,17.2,20,France,FlÃ¸temysost,4,21.5,26,0,0,0,Dairy Products,344,4.3,20
10274,VINET,9/6/1994,72,27.8,7,France,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,194.6,7,20.11494253
10275,MAGAA,9/7/1994,24,3.6,12,Italy,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,43.2,0.9,20
10275,MAGAA,9/7/1994,59,44,6,Italy,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,264,11,20
10276,TORTU,9/8/1994,10,24.8,15,Mexico,Ikura,8,31,31,0,0,0,Seafood,372,6.2,20
10276,TORTU,9/8/1994,13,4.8,10,Mexico,Konbu,8,6,24,0,5,0,Seafood,48,1.2,20
10277,MORGK,9/9/1994,28,36.4,20,Germany,Rössle Sauerkraut,7,45.6,26,0,0,1,Produce,728,9.2,20.1754386
10277,MORGK,9/9/1994,62,39.4,12,Germany,Tarte au sucre,3,49.3,17,0,0,0,Confections,472.8,9.9,20.0811359
10278,BERGS,9/12/1994,44,15.5,16,Sweden,Gula Malacca,2,19.45,27,0,15,0,Condiments,248,3.95,20.30848329
10278,BERGS,9/12/1994,59,44,15,Sweden,Raclette Courdavault,4,55,79,0,0,0,Dairy Products,660,11,20
10278,BERGS,9/12/1994,63,35.1,8,Sweden,Vegie-spread,2,43.9,24,0,5,0,Condiments,280.8,8.8,20.04555809
10278,BERGS,9/12/1994,73,12,25,Sweden,Röd Kaviar,8,15,101,0,5,0,Seafood,300,3,20
10279,LEHMS,9/13/1994,17,31.2,15,Germany,Alice Mutton,6,39,0,0,0,1,Meat/Poultry,468,7.8,20
10280,BERGS,9/14/1994,24,3.6,12,Sweden,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,43.2,0.9,20
10280,BERGS,9/14/1994,55,19.2,20,Sweden,Pâté chinois,6,24,115,0,20,0,Meat/Poultry,384,4.8,20
10280,BERGS,9/14/1994,75,6.2,30,Sweden,Rhönbräu Klosterbier,1,7.75,125,0,25,0,Beverages,186,1.55,20
10281,ROMEY,9/14/1994,19,7.3,1,Spain,Teatime Chocolate Biscuits,3,9.2,25,0,5,0,Confections,7.3,1.9,20.65217391
10281,ROMEY,9/14/1994,24,3.6,6,Spain,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,21.6,0.9,20
10281,ROMEY,9/14/1994,35,14.4,4,Spain,Steeleye Stout,1,18,20,0,15,0,Beverages,57.6,3.6,20
10282,ROMEY,9/15/1994,30,20.7,6,Spain,Nord-Ost Matjeshering,8,25.89,10,0,15,0,Seafood,124.2,5.19,20.04634994
10282,ROMEY,9/15/1994,57,15.6,2,Spain,Ravioli Angelo,5,19.5,36,0,20,0,Grains/Cereals,31.2,3.9,20
10283,LILAS,9/16/1994,15,12.4,20,Venezuela,Genen Shouyu,2,15.5,39,0,5,0,Condiments,248,3.1,20
10283,LILAS,9/16/1994,19,7.3,18,Venezuela,Teatime Chocolate Biscuits,3,9.2,25,0,5,0,Confections,131.4,1.9,20.65217391
10283,LILAS,9/16/1994,60,27.2,35,Venezuela,Camembert Pierrot,4,34,19,0,0,0,Dairy Products,952,6.8,20
10283,LILAS,9/16/1994,72,27.8,3,Venezuela,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,83.4,7,20.11494253
10284,LEHMS,9/19/1994,27,35.1,15,Germany,Schoggi Schokolade,3,43.9,49,0,30,0,Confections,526.5,8.8,20.04555809
10284,LEHMS,9/19/1994,44,15.5,21,Germany,Gula Malacca,2,19.45,27,0,15,0,Condiments,325.5,3.95,20.30848329
10284,LEHMS,9/19/1994,60,27.2,20,Germany,Camembert Pierrot,4,34,19,0,0,0,Dairy Products,544,6.8,20
10284,LEHMS,9/19/1994,67,11.2,5,Germany,Laughing Lumberjack Lager,1,14,52,0,10,0,Beverages,56,2.8,20
10285,QUICK,9/20/1994,1,14.4,45,Germany,Chai,1,18,39,0,10,0,Beverages,648,3.6,20
10285,QUICK,9/20/1994,40,14.7,40,Germany,Boston Crab Meat,8,18.4,123,0,30,0,Seafood,588,3.7,20.10869565
10285,QUICK,9/20/1994,53,26.2,36,Germany,Perth Pasties,6,32.8,0,0,0,1,Meat/Poultry,943.2,6.6,20.12195122
10286,QUICK,9/21/1994,35,14.4,100,Germany,Steeleye Stout,1,18,20,0,15,0,Beverages,1440,3.6,20
10286,QUICK,9/21/1994,62,39.4,40,Germany,Tarte au sucre,3,49.3,17,0,0,0,Confections,1576,9.9,20.0811359
10287,RICAR,9/22/1994,16,13.9,40,Brazil,Pavlova,3,17.45,29,0,10,0,Confections,556,3.55,20.34383954
10287,RICAR,9/22/1994,34,11.2,20,Brazil,Sasquatch Ale,1,14,111,0,15,0,Beverages,224,2.8,20
10287,RICAR,9/22/1994,46,9.6,15,Brazil,Spegesild,8,12,95,0,0,0,Seafood,144,2.4,20
10288,REGGC,9/23/1994,54,5.9,10,Italy,Tourtière,6,7.45,21,0,10,0,Meat/Poultry,59,1.55,20.80536913
10288,REGGC,9/23/1994,68,10,3,Italy,Scottish Longbreads,3,12.5,6,10,15,0,Confections,30,2.5,20
10289,BSBEV,9/26/1994,3,8,30,UK,Aniseed Syrup,2,10,13,70,25,0,Condiments,240,2,20
10289,BSBEV,9/26/1994,64,26.6,9,UK,Wimmers gute Semmelknödel,5,33.25,22,80,30,0,Grains/Cereals,239.4,6.65,20
10290,COMMI,9/27/1994,5,17,20,Brazil,Chef Anton's Gumbo Mix,2,21.35,0,0,0,1,Condiments,340,4.35,20.37470726
10290,COMMI,9/27/1994,29,99,15,Brazil,Thüringer Rostbratwurst,6,123.79,0,0,0,1,Meat/Poultry,1485,24.79,20.02585023
10290,COMMI,9/27/1994,49,16,15,Brazil,Maxilaku,3,20,10,60,15,0,Confections,240,4,20
10290,COMMI,9/27/1994,77,10.4,10,Brazil,Original Frankfurter grüne Soße,2,13,32,0,15,0,Condiments,104,2.6,20
10291,QUEDE,9/27/1994,13,4.8,20,Brazil,Konbu,8,6,24,0,5,0,Seafood,96,1.2,20
10291,QUEDE,9/27/1994,44,15.5,24,Brazil,Gula Malacca,2,19.45,27,0,15,0,Condiments,372,3.95,20.30848329
10291,QUEDE,9/27/1994,51,42.4,2,Brazil,Manjimup Dried Apples,7,53,20,0,10,0,Produce,84.8,10.6,20
10292,TRADH,9/28/1994,20,64.8,20,Brazil,Sir Rodney's Marmalade,3,81,40,0,0,0,Confections,1296,16.2,20
10293,TORTU,9/29/1994,18,50,12,Mexico,Carnarvon Tigers,8,62.5,42,0,0,0,Seafood,600,12.5,20
10293,TORTU,9/29/1994,24,3.6,10,Mexico,Guaraná Fantástica,1,4.5,20,0,0,1,Beverages,36,0.9,20
10293,TORTU,9/29/1994,63,35.1,5,Mexico,Vegie-spread,2,43.9,24,0,5,0,Condiments,175.5,8.8,20.04555809
10293,TORTU,9/29/1994,75,6.2,6,Mexico,Rhönbräu Klosterbier,1,7.75,125,0,25,0,Beverages,37.2,1.55,20
10294,RATTC,9/30/1994,1,14.4,18,USA,Chai,1,18,39,0,10,0,Beverages,259.2,3.6,20
10294,RATTC,9/30/1994,17,31.2,15,USA,Alice Mutton,6,39,0,0,0,1,Meat/Poultry,468,7.8,20
10294,RATTC,9/30/1994,43,36.8,15,USA,Ipoh Coffee,1,46,17,10,25,0,Beverages,552,9.2,20
10294,RATTC,9/30/1994,60,27.2,21,USA,Camembert Pierrot,4,34,19,0,0,0,Dairy Products,571.2,6.8,20
10294,RATTC,9/30/1994,75,6.2,6,USA,Rhönbräu Klosterbier,1,7.75,125,0,25,0,Beverages,37.2,1.55,20
10295,VINET,10/3/1994,56,30.4,4,France,Gnocchi di nonna Alice,5,38,21,10,30,0,Grains/Cereals,121.6,7.6,20
10296,LILAS,10/4/1994,11,16.8,12,Venezuela,Queso Cabrales,4,21,22,30,30,0,Dairy Products,201.6,4.2,20
10296,LILAS,10/4/1994,16,13.9,30,Venezuela,Pavlova,3,17.45,29,0,10,0,Confections,417,3.55,20.34383954
10296,LILAS,10/4/1994,69,28.8,15,Venezuela,Gudbrandsdalsost,4,36,26,0,15,0,Dairy Products,432,7.2,20
10297,BLONP,10/5/1994,39,14.4,60,France,Chartreuse verte,1,18,69,0,5,0,Beverages,864,3.6,20
10297,BLONP,10/5/1994,72,27.8,20,France,Mozzarella di Giovanni,4,34.8,14,0,0,0,Dairy Products,556,7,20.11494253
